Easting,Northing,Elevation,Name
270697.459,2134893.185,7.759,Base- surbhi hotel
258146.832,2199400.338,4.73,BASE_Aasiyana_Resort
258146.832,2199400.338,4.73,BASE-Aasiyan Resort
260554.13,2166963.44,5.483,BASE-usarani Beach
264169.468,2227733.434,6.168,PG_02
264141.645,2226512.646,4.758,PG_03
263524.994,2225408.199,6.166,PG_04
263245.271,2224704.872,6.066,PG_05
262988.948,2223842.959,5.607,PG_06
262864.002,2223036.539,7.304,PG_07
262590.687,2222133.734,7.177,PG_08
261454.904,2221939.52,4.528,PG_09
263656.925,2228630.665,5.779,PG_1
268040.637,2139868.974,4.006,PG_115
268208.497,2139584.156,4.917,PG_115E
269214.057,2139230.908,3.523,PG_116
269286.587,2138866.718,3.961,PG_117
269696.873,2138325.656,4.84,PG_118
270399.705,2138620.364,4.91,PG_119
270934.251,2138685.802,3.007,PG_120
272956.515,2136971.67,3.772,PG_121
268544.067,2135528.224,6.384,PG_121E
264169.327,2228596.831,5.174,PG_1E
261664.368,2210773.554,6.326,PG_21
261164.164,2209239.097,5.337,PG_22
258324.675,2208511.048,4.716,PG_25
257910.526,2207974.306,2.69,PG_26
257407.306,2203867.097,5.136,PG_32
258571.28,2182954.492,4.265,PG_61
259050.958,2182126.899,6.464,PG_62
259933.634,2181250.143,7.136,PG_63
260328.062,2180047.62,9.195,PG_64
260387.113,2179091.718,7.764,PG_65
259834.373,2177961.859,7.01,PG_66
259982.262,2177262.124,7.874,PG_67
260219.44,2176530.055,6.079,PG_68
260476.749,2175627.272,5.915,PG_69
260615.591,2174589.225,5.878,PG_70
260072.462,2174415.286,5.137,PG_71
260589.767,2221576.271,5.266,PG-10
263902.409,2152156.811,5.35,PG-100
264040.115,2151176.508,4.264,PG-101
264313.215,2150135.864,7.116,PG-102
264631.88,2149014.876,5.453,PG-103
264870.888,2148167.252,5.75,PG-104
264943.544,2146998.929,5.935,PG-105
264955.004,2146175.989,4.661,PG-106
265774.666,2145665.549,3.927,PG-107
264954.374,2145220.731,4.101,PG-108
264554.408,2144586.292,3.255,PG-109
260518.968,2220798.067,7.837,PG-11
264689.504,2143675.854,5.85,PG-110
265482.365,2142909.209,6.109,PG-111
265922.921,2142325.306,4.823,PG-112
267358.614,2141843.587,4.128,PG-113
267777.599,2140789.312,3.006,PG-114
260573.837,2219540.45,4.37,PG-12
260837.014,2218598.713,5.044,PG-13
261021.821,2217688.771,4.731,PG-14
261149.678,2216605.004,5.165,PG-15
260981.292,2215889.46,5.69,PG-16
261315.881,2214959.578,5.014,PG-17
261508.229,2213921.552,6.793,PG-18
261715.98,2212691.515,7.055,PG-19
261658.763,2211632.766,6.738,PG-20
259989.682,2209277.73,6.287,PG-23
259325.682,2208620.569,6.485,PG-24
258129.719,2206573.706,8.092,PG-27
257112.692,2206111.479,8.175,PG-28
256091.54,2205266.666,3.877,PG-30
257510.991,2191048.675,6.456,PG-51
257776.96,2190709.056,2.122,PG-52
258022.55,2189914.501,7.704,PG-53
257881.554,2189193.731,8.168,PG-54
257968.616,2188181.316,7.698,PG-55
257841.918,2187085.816,6.384,PG-56
257718.225,2185961.042,5.76,PG-57
257619.958,2185498.081,5.166,PG-58
258089.927,2184320.432,2.757,PG-59
258849.961,2184006.047,4.069,PG-60
258571.28,2182954.493,4.265,PG-61
259050.958,2182126.898,6.464,PG-62
259933.633,2181250.143,7.137,pg-63
260328.062,2180047.62,9.195,PG64
260803.988,2173526.145,3.499,PG-72
261514.134,2172685.833,3.928,PG-73
261912.792,2171079.89,5.232,PG-74
262089.969,2170097.655,6.536,PG-75
262167.095,2169141.581,5.845,PG-76
262024.848,2168166.09,6.06,PG-77
261230.875,2167849.486,4.563,PG-78
260413.717,2167917.503,3.418,PG-79
260560.084,2166956.23,5.62,PG-80
260550.21,2165962.939,6.2,PG-81
260827.024,2165200.989,4.625,PG-82
260918.169,2164037.043,4.236,PG-83
261193.699,2162977.043,6.293,PG-84
261000.186,2162334.577,3.637,PG-85
261177.516,2162304.24,4.968,PG-86
261481.522,2161769.244,4.873,PG-87
261840.372,2161183.596,6.418,PG-88
262454.206,2160888.497,3.377,PG-89
262797.547,2159911.398,4.336,PG-90
262801.686,2159912.568,3.719,PG-90
264752.949,2159298.787,3.083,PG-92
265003.739,2158608.219,4.105,PG-93
266756.702,2155345.573,3.391,PG-94
265296.054,2154594.281,4.48,PG-95
264856.907,2154810.279,4.122,PG-96
264024.798,2154204.625,2.454,PG-97
263646.605,2153598.827,3.436,PG-98
263604.064,2152882.45,5.588,PG-99
