Easting,Northing,Elevation,Name
322867.204,1849839.318,57.396,BAES- HOTEL RATNAPRABHA
307941.182,1933578.298,20.802,BASE GUHAGAR
302325.379,1959046.1,9.479,BASE HOTEL_Samudra_darsan
321457.782,1866328.868,8.476,Base pavas
321457.855,1866328.611,8.732,base pavas A
313367.648,1913909.65,72.402,BASE Tavsaal Aarogya
265006.201,2147017.306,20.664,BASE-kalmb Beach
316137.293,1896947.061,14.299,BS GP RATNAGIRI
293930.337,1982774.868,6.32,RG_PT_510E
293968.235,1981884.373,5.327,RG_PT_511
294177.349,1981048.909,34.91,RG_PT_512
294177.353,1981048.893,34.891,RG_PT_512
294900.182,1979767.842,81.502,RG_PT_513
295233.538,1979547.385,63.772,RG_PT_514
296172.358,1977319.906,7.995,RG_PT_516
297405.089,1974324.973,3.893,RG_PT_520
297937.556,1971054.041,12.554,RG_PT_524
298199.236,1970333.377,11.887,RG_PT_526
298714.946,1969626.175,12.685,RG_PT_527
299295.65,1968877.87,19.217,RG_PT_528
299674.869,1968034.445,11.935,RG_PT_529
299904.546,1966893.01,12.416,RG_PT_530
300337.313,1965703.105,11.878,RG_PT_531
300619.9,1964867.001,6.792,RG_PT_532
300976.435,1964003.407,4.463,RG_PT_533
301390.994,1962933.876,33.027,RG_PT_534
301565.325,1961991.267,23.249,RG_PT_535
301953.703,1961413.378,28.304,RG_PT_536
302210.111,1959808.916,4.797,RG_PT_538
302271.3,1958318.761,28.988,RG_PT_539
301460.912,1957389.414,99.486,RG_PT_541
300556.663,1956772.452,114.5,RG_PT_542
300552.072,1955854.033,125.411,RG_PT_543
300793.57,1955477.56,126.815,RG_PT_544
301462.019,1955022.729,115.817,RG_PT_545
301879.822,1953808.574,97.698,RG_PT_546
302123.559,1953044.057,11.489,RG_PT_547
302776.605,1951801.555,12.989,RG_PT_548
303937.583,1946885.279,3.562,RG_PT_555
304492.081,1946008.814,8.02,RG_PT_556
304546.91,1946586.002,87.262,RG_PT_556E
304894.895,1945928.925,6.711,RG_PT_557
305798.96,1945486.184,2.727,RG_PT_558
305635.821,1944295.019,8.44,RG_PT_559
304473.782,1943260.234,3.487,RG_PT_560
303934.179,1943569.187,77.182,RG_PT_561
302961.253,1943109.387,85.42,RG_PT_562
302956.458,1942716.547,76.724,RG_PT_563
303172.527,1941726.831,75.844,RG_PT_564
303123.902,1941419.887,81.29,RG_PT_565
305789.738,1939612.365,67.467,RG_PT_571
306335.145,1937621.753,4.633,RG_PT_572
306598.038,1937861.508,96.577,RG_PT_572A
306746.185,1937268.98,10.913,RG_PT_573
307348.002,1936491.777,4.389,RG_PT_574
307467.701,1935141.677,6.479,RG_PT_575
307633.241,1934617.964,4.398,RG_PT_576
308128.956,1933652.122,4.686,RG_PT_577
308711.501,1932670.385,8.426,RG_PT_578
308109.494,1931872.72,5.342,RG_PT_579
307977.63,1930200.789,89.348,RG_PT_581
307765.611,1923172.946,4.141,RG_PT_594
308181.442,1923448.958,33.494,RG_PT_595
308929.721,1923194.793,23.136,RG_PT_596
309685.919,1922891.734,12.509,RG_PT_597
310035.243,1921939.46,26.405,RG_PT_598
310055.052,1921625.232,42.976,RG_PT_599
310637.356,1921330.097,23.369,RG_PT_600
310813.072,1919972.628,5.421,RG_PT_601
311508.283,1919188.992,50.18,RG_PT_602
311273.435,1918964.124,73.376,RG_PT_603
311759.163,1918170.619,70.286,RG_PT_604
311940.339,1917570.581,5.232,RG_PT_605
311710.003,1916398.166,79.886,RG_PT_607
312348.366,1916344.669,79.317,RG_PT_608
313197.771,1915426.924,10.28,RG_PT_609
313319.691,1914588.65,5.756,RG_PT_610
312843.904,1913078.924,3.154,RG_PT_611
311134.581,1911495.35,79.362,RG_PT_613
310870.531,1912488.964,65.319,RG_PT_614
311110.33,1910048.994,4.966,RG_PT_624
311446.559,1909274.138,61.861,RG_PT_625
311463.013,1908748.1,6.268,RG_PT_626
311665.32,1908270.72,8.383,RG_PT_627
311760.535,1907729.91,8.761,RG_PT_628
312701.114,1907760.972,91.52,RG_PT_629
312602.39,1906651.25,65.042,RG_PT_630
312684.878,1906025.556,22.341,RG_PT_631
312980.339,1905597.233,4.101,RG_PT_632
313780.719,1903593.637,8.529,RG_PT_633
313537.405,1902511.006,4,RG_PT_634
313406.656,1902035.922,6.469,RG_PT_638
313863.041,1901639.858,6.1,RG_PT_638_5
314678.21,1900275.694,8.909,RG_PT_640
315027.406,1899527.798,5.646,RG_PT_641
315853.809,1898654.081,9.239,RG_PT_642
316114.135,1897478.669,4.192,RG_PT_643
315853.811,1898654.083,9.207,RG_PT_643
318182.135,1886824.747,4.025,RG_PT_655
317701.136,1885862.279,5.206,RG_PT_656
317183.523,1885231.972,4.267,RG_PT_657
314678.243,1884026.009,53.033,RG_PT_663
314386.994,1883348.406,52.297,RG_PT_664
314684.781,1883130.024,82.989,RG_PT_665
315186.856,1883182.088,81.246,RG_PT_666
315985.38,1883071.44,3.867,RG_PT_667
316879.825,1882687.226,3.762,RG_PT_668
317426.889,1881862.259,2.958,RG_PT_669
317277.716,1880666.217,6.821,RG_PT_670
317155.567,1880262.172,6.008,RG_PT_671
316516.357,1880216.325,4.801,RG_PT_672
315818.434,1880122.805,6.681,RG_PT_673
315842.251,1879584.069,21.89,RG_PT_674
316142.486,1879171.992,83.26,RG_PT_675
317155.491,1879329.919,3.677,RG_PT_676
317834.198,1879253.927,3.846,RG_PT_677
318715.08,1878602.772,11.014,RG_PT_678
318486.375,1877506.083,4.445,RG_PT_679
318463.457,1876443.678,55.345,RG_PT_680
318173.411,1875561.225,6.915,RG_PT_681
317942.76,1869090.132,14.094,RG_PT_691
319005.413,1869013.784,5.925,RG_PT_692
322680.883,1841090.775,33.234,RG_PT_730
321497.518,1840503.795,16.148,RG_PT_732
322078.348,1840763.003,4.751,RG_PT_733
323419.968,1840507.145,30.133,RG_PT_734
323199.671,1839161.587,3.902,RG_PT_735
321942.927,1838359.757,24.035,RG_PT_736
322641.327,1838881.837,28.986,RG_PT_737
323514.61,1838895.763,29.379,RG_PT_738
324038.95,1839041.567,30.459,RG_PT_739
324374.862,1837377.842,2.726,RG_PT_740
323759.233,1836959.418,31.85,RG_PT_741
323506.899,1836639.018,26.337,RG_PT_742
323920.651,1836209.53,2.679,RG_PT_743
323842.58,1835272.916,30.707,RG_PT_744
323407.265,1833747.812,3.576,RG_PT_755
292870.174,1988972.352,5.18,RG-PT 501
292041.08,1988256.939,4.7,RG-PT 502
292415.778,1988739.703,6.239,RG-PT 503
291555.473,1987814.596,4.408,RG-PT 504
291608.15,1987358.531,6.007,RG-PT 505
292073.543,1986681.377,3.317,RG-PT 506
292143.207,1985920.21,62.33,RG-PT 507
292236.151,1985143.973,167.696,RG-PT 508
293098.055,1984405.184,88.138,RG-PT 509
293671.181,1983849.192,43.227,RG-PT 510
297729.928,1973538.214,23.262,RG-PT 521
302638.645,1949922.781,93.793,RG-PT 551
302856.839,1948724.058,80.197,RG-PT 552
303086.274,1948024.728,78.894,RG-PT 553
305798.96,1945486.184,2.727,RG-PT 558
307970.622,1930691.69,104.472,RG-PT 580
309041.45,1928876.571,3.771,RG-PT 583
308437.261,1927575.797,86.475,RG-PT 585
307968.709,1926591.484,85.635,RG-PT 586
307991.559,1925348.172,100.855,RG-PT 587
307181.644,1925368.304,97.179,RG-PT 588
306738.155,1924752.074,19.326,RG-PT 589
