Easting,Northing,Elevation,Name
341949.511,1768839.329,55.006,CHIPE base
330332.699,1801217.548,1.953,jetty base
330092.424,1801177.099,7.635,jetty base-2
334348.971,1788969.617,3.846,S-PT-812
334551.449,1788358.053,8.346,S-PT-813
334532.265,1785954.614,5.995,S-PT-814
334976.47,1785455.738,18.75,S-PT-815
335104.529,1784508.807,10.218,S-PT-816
336222.744,1777929.029,5.716,S-PT-824
335691.841,1777233.523,2.324,S-PT-825
335087.291,1776455.245,3.013,S-PT-826
335251.684,1775724.72,1.701,S-PT-828
335251.73,1775724.608,1.71,S-PT-828 1
335108.364,1776093.157,4.384,S-PT-828 A
335700.312,1775650.111,2.486,S-PT-829
336556.897,1775153.249,2.691,S-PT-830
336245.163,1774721.201,2.872,S-PT-831
336968.335,1774728.148,2.677,S-PT-832
340918.783,1762861.746,19.197,S-PT-847
342977.602,1762806.625,21.346,S-PT-851
343838.676,1762407.735,4.751,S-PT-852
345533.974,1761604.473,56.777,S-PT-854
346560.801,1760714.419,18.435,S-PT-855
352464.598,1753755.867,3.197,S-PT-868
353528.287,1753142.8,2.939,S-PT-869
353858.854,1752167.721,9.748,S-PT-870
354127.47,1751265.944,11.223,S-PT-871
354421.46,1750243.38,10.586,S-PT-872
354683.218,1749643.421,11.686,S-PT-873
355072.169,1748731.078,85.419,S-PT-874
356005.152,1747855.988,31.055,S-PT-875
355999.637,1745796.609,3.157,S-PT-877
356636.4,1745658.41,5.995,S-PT-878
356700.406,1744427.581,4.181,S-PT-879
356777.649,1742027.161,2.008,S-PT-881
356190.732,1741422.14,3.718,S-PT-882
351863.739,1753305.86,4.641,Vengurla base
351537.149,1753954.261,75.847,S-PT-866
351409.959,1754881.943,5.756,S-PT-865
350977.425,1755673.83,8.961,S-PT-864
350476.889,1756544.257,5.247,S-PT-863
350075.379,1758657.79,19.501,S-PT-861
349119.505,1758955.839,3.881,S-PT-860
348761.936,1759601.389,3.209,S-PT-858
347776.103,1760069.425,62.153,S-PT-857
347085.454,1760143.961,63.599,S-PT-856
322520.134,1831287.721,4.291,S-PT-757
321581.769,1831115.524,21.564,S-PT-758
321119.105,1830640.237,13.415,S-PT-759
320644.265,1830375.16,21.255,S-PT-760
320645.684,1829883.237,19.597,S-PT-761
319852.347,1829610.172,7.278,S-PT-762
320244.116,1829152.151,11.341,S-PT-763
321254.925,1826841.395,41.17,S-PT-767
322203.302,1826252.987,83.478,S-PT-768
322077.126,1824914.438,99.127,S-PT-769
322676.519,1824540.972,58.979,S-PT-770
323205.041,1823361.23,4.958,S-PT-771
323249.588,1822445.296,6.542,S-PT-772
326205.086,1812009.058,35.582,S-PT-783
325632.665,1811427.846,32.011,S_PT-784
326182.135,1810630.232,37.123,S_PT-785
325977.221,1809754.241,27.724,S_PT-786
327446.309,1809412.679,5.452,S_PT-788
327987.816,1808466.287,5.419,S_PT-789
327832.56,1807344.8,26.083,S_PT-790
328584.599,1806155.422,9.275,S_PT-792
328897.953,1805236.821,17.171,S_PT-793
328720.204,1804607.219,42.759,S_PT-794
329175.166,1803408.698,48.896,S_PT-795
329832.132,1802776.127,41.327,S_PT-796
330074.1,1801809.46,7.102,S-PT-797
330065.601,1800857.09,6.172,S-PT-798
330506.88,1800465.575,2.062,S-PT-799
330338.409,1800044.965,1.632,S-PT-800
331276.775,1798109.347,53.13,S-PT-801
331656.745,1797230.274,55.585,S-PT-802
331473.402,1796226.247,10.502,S-PT-803
332336.524,1795307.708,53.141,S-PT-804
331687.643,1794261.069,2.229,S-PT-805
332273.996,1793089.163,44.143,S-PT-806
357898.878,1740074.232,23.161,S-PT-886
357127.432,1740609.438,31.329,S-PT-885
356430.328,1741028.928,14.543,S-PT-884
356022.193,1741278.347,17.957,S-PT-883
356841.883,1742602.585,4.585,S-PT-880
340769.517,1762836.928,50.268,S-PT-846
340595.856,1765928.023,84.342,S-PT-842
340434.294,1765293.476,50.374,S-PT-843
339829.861,1764679.784,3.756,S-PT-844
339428.437,1766388.279,3.625,S-PT-841
338916.193,1767438.354,2.41,S-PT-840
338407.91,1768241.302,2.562,S-PT-839
338440.738,1769211.681,2.22,S-PT-838
338562.264,1770381.535,3.721,S-PT-837
338598.183,1771289.365,4.52,S-PT-836
338333.434,1772285.625,4.978,S-PT-835
338090.995,1773285.841,4.104,S-PT-834
337316.037,1774159.274,3.108,S-PT-833
335104.745,1783392.142,6.607,S-PT-817
335144.702,1782327.227,6.573,S-PT-818
335126.246,1781116.41,6.147,S-PT-819
335383.351,1780465.471,5.073,S-PT-820
335571.36,1778808.772,13.734,S-PT-822
335826.373,1778525.439,8.125,S-PT-823
336237.159,1779626.19,13.935,S-PT-821
332203.455,1791855.339,40.987,S-PT-808
331925.543,1792238.22,35.803,S-PT-807
